 ratio        immense     moderate     pyrrhic      failure
  0.40          0.0          0.0          0.0        100.0
  0.45          0.0          0.0          1.0         99.0
  0.50          0.0          0.1          4.1         95.9
  0.55          0.0          0.3          8.8         90.9
  0.60          0.0          0.9         14.9         84.2
  0.65          0.1          2.1         21.7         76.2
  0.70          0.2          4.1         28.7         67.0
  0.75          0.5          7.2         35.2         57.2
  0.80          1.1         11.5         40.3         47.1
  0.85          2.2         17.1         43.6         37.1
  0.90          4.2         23.6         44.4         27.8
  0.95          7.4         30.7         42.4         19.5
  1.00         12.5         37.5         37.5         12.5
  1.05         19.1         42.2         31.0          7.6
  1.10         26.2         44.2         24.9          4.7
  1.15         33.4         44.2         19.5          2.9
  1.20         40.4         42.8         15.1          1.8
  1.25         47.1         40.3         11.5          1.1
  1.30         53.3         37.3          8.7          0.7
  1.35         59.0         34.0          6.5          0.4
  1.40         64.2         30.6          4.9          0.3
  1.45         69.0         27.3          3.6          0.2
  1.50         73.2         24.1          2.6          0.1
  1.55         77.0         21.0          1.9          0.1
  1.60         80.4         18.2          1.4          0.0
  1.65         83.3         15.7          1.0          0.0
  1.70         86.0         13.3          0.7          0.0
  1.75         88.2         11.3          0.5          0.0
  1.80         90.3          9.4          0.3          0.0
  1.85         92.0          7.8          0.2          0.0
  1.90         93.5          6.4          0.1          0.0
  1.95         94.8          5.1          0.1          0.0
  2.00         95.9          4.1          0.1          0.0
  2.05         96.8          3.1          0.0          0.0
  2.10         97.6          2.4          0.0          0.0
  2.15         98.2          1.7          0.0          0.0
  2.20         98.8          1.2          0.0          0.0
  2.25         99.2          0.8          0.0          0.0
  2.30         99.5          0.5          0.0          0.0
  2.35         99.7          0.3          0.0          0.0
  2.40         99.9          0.1          0.0          0.0
  2.45        100.0          0.0          0.0          0.0
  2.50        100.0          0.0          0.0          0.0
